companyId,procoreProjectId,bidBoardId,projectNumber,projectName,customer,status,bidBoardStatus
598134325805519,598134326612123,,,Default Estimating Template,"Paradise Masonry, LLC New",Bid Submitted,
598134325805519,598134326634438,,2508 - GI,Giant #6582,"Ames Construction, Inc.",Bid Submitted,
598134325805519,598134326542329,,,Standard Project Template,"Paradise Masonry, LLC New",Bid Submitted,
598134325805519,598134326634377,,2508 - WD,Washburn Dam,Berg Construction,Complete,
598134325805519,598134326630602,,2606 - WI,Weaver Industries,"Paradise Masonry, LLC New",Bid Submitted,
598134325805519,598134326628693,,2603 - WR,WSCA Ramp,"Paradise Masonry, LLC New",Bid Submitted,
