procoreProjectId,legacyProjectId,field,legacyValue,pmcValue
598134326634438,cmq0zmid80010ytdvlojmls43,bidBoardId,,598134325805519:562949955833659
598134326634377,cmq0yvvlh0003ytdvgdkj328r,bidBoardId,,598134325805519:562949955835554
598134326628693,cmpwrqa6v000kyef2v36wc38l,bidBoardId,,598134325805519:562949955825806
598134326630602,cmpy5ggtj00030hdxft09qhyl,bidBoardId,,598134325805519:562949955829652
