companyId,procoreProjectId,bidBoardId,projectNumber,projectName,customer,status,bidBoardStatus
598134325805519,598134326634438,598134325805519:562949955833659,2508 - GI,Giant #6582,"Ames Construction, Inc.",Bid Submitted,In Progress
598134325805519,598134326634377,598134325805519:562949955835554,2508 - WD,Washburn Dam,Berg Construction,Complete,Complete
598134325805519,598134326630602,598134325805519:562949955829652,2606 - WI,Weaver Industries,"Paradise Masonry, LLC New",Bid Submitted,Bid Submitted
598134325805519,598134326628693,598134325805519:562949955825806,2603 - WR,WSCA Ramp,"Paradise Masonry, LLC New",Bid Submitted,In Progress
