month,ProjectUpdateDate,dateCreated
2024-12,0,554883.31
2025-01,0,3435998.12
2025-02,0,1195453.6
2025-03,0,559665.58
2025-04,0,4187180.17
2025-05,0,3060438.27
2025-06,0,3446783.81
2025-07,0,5666117.7
2025-08,0,6349779.55
2025-09,0,2573627.2
2025-10,0,2713690.07
2025-11,0,2815617.69
2025-12,32579225.13,2912926.6
2026-01,4751132.77,7679072.01
2026-02,8330119.92,3812962.59
2026-03,5991665.69,687947.24
