Date,Vendor,Contract,Line Item,Quantity Budgeted,Unit Cost,Total cost,Quantity Delivered,Quantity To Be Delivered,Quantity Put-In-Place,Quantity To Be Put-In-Place,Comments
3/24/2026,"Paradise Masonry, LLC","FTW-001 - Interior slab on grade, Tank slab, Dock leveler, Trench drain ",#7 - L&M Curing Compound,16.59,$56.49 ,$937.17 ,7,9.59,7,9.59,
3/24/2026,"Paradise Masonry, LLC","FTW-001 - Interior slab on grade, Tank slab, Dock leveler, Trench drain ",#2 - Fiber - SOG,549,$10.07 ,"$5,528.43 ",290,259,290,259,
3/24/2026,"Paradise Masonry, LLC","FTW-001 - Interior slab on grade, Tank slab, Dock leveler, Trench drain ",#1 - Slab On Grade Concrete - SOG,586.61,$134.09 ,"$78,658.53 ",290,295.11,290,295.11,
3/23/2026,"Paradise Masonry, LLC","FTW-002 - Aprons, Stoops, Steps & Landings, Ramp at dock, Dumpster pad",#3 - #4 Rebar - 20' Pc - Site,464.6,$6.26 ,"$2,908.40 ",330,134.6,0,464.6,
3/23/2026,"Paradise Masonry, LLC","FTW-002 - Aprons, Stoops, Steps & Landings, Ramp at dock, Dumpster pad","#2 - Heavy Duty SOG Chair 2-1/2"" - 3""",32.5,$0.48 ,$15.60 ,140,-107.5,0,32.5,
3/23/2026,"Paradise Masonry, LLC","FTW-001 - Interior slab on grade, Tank slab, Dock leveler, Trench drain ","#4 - Expansion Rigid Foam 6""x10'",63.89,$5.91 ,$377.59 ,10,-16.11,0,63.89,
3/20/2026,"Paradise Masonry, LLC",FTW-003 - Bollards ,"#1 - Bollard Sch 40 6""x7'6"" (primed)",32,$182.32 ,"$5,834.24 ",26,6,0,24,
3/20/2026,"Paradise Masonry, LLC","FTW-001 - Interior slab on grade, Tank slab, Dock leveler, Trench drain ",#11 - #5 Rebar - 20' Pc - SOG,146.3,$9.76 ,"$1,427.89 ",192,-45.7,0,146.3,
3/20/2026,"Paradise Masonry, LLC","FTW-001 - Interior slab on grade, Tank slab, Dock leveler, Trench drain ","#10 - Heavy Duty SOG Chair 2-1/2"" - 3""",83.12,$0.48 ,$39.90 ,30,53.12,0,77.12,
3/20/2026,"Paradise Masonry, LLC","FTW-001 - Interior slab on grade, Tank slab, Dock leveler, Trench drain ",#6 - Wire Mesh 6 ga (2.9x2.9 6x6) 5'x10' Sheet,691,$14.83 ,"$10,247.53 ",278,413,0,691,8’ x 15’
3/20/2026,"Paradise Masonry, LLC","FTW-001 - Interior slab on grade, Tank slab, Dock leveler, Trench drain ",#5 - Vapor Barrier 6 mil 20'x100',15.19,$87.44 ,"$1,328.21 ",17,-1.81,0,15.19,
3/20/2026,"Paradise Masonry, LLC","FTW-001 - Interior slab on grade, Tank slab, Dock leveler, Trench drain ","#4 - Expansion Rigid Foam 6""x10'",63.89,$5.91 ,$377.59 ,70,-6.11,0,63.89,
3/4/2026,"Paradise Masonry, LLC","FTW-001 - Interior slab on grade, Tank slab, Dock leveler, Trench drain ","#10 - Heavy Duty SOG Chair 2-1/2"" - 3""",83.12,$0.48 ,$39.90 ,0,83.12,6,77.12,
3/4/2026,"Paradise Masonry, LLC","FTW-001 - Interior slab on grade, Tank slab, Dock leveler, Trench drain ",#16 - #4 Rebar - 20' Pc - SOG,22.17,$6.26 ,$138.78 ,0,22.17,10,12.17,
3/4/2026,"Paradise Masonry, LLC",FTW-003 - Bollards ,"#1 - Bollard Sch 40 6""x7'6"" (primed)",32,$182.32 ,"$5,834.24 ",0,32,8,24,
3/4/2026,"Paradise Masonry, LLC",FTW-003 - Bollards ,#2 - Bollards Concrete,16,$135.15 ,"$2,162.40 ",5.5,10.5,5.5,10.5,
3/4/2026,"Paradise Masonry, LLC","FTW-001 - Interior slab on grade, Tank slab, Dock leveler, Trench drain ",#1 - Slab On Grade Concrete - SOG,586.61,$134.09 ,"$78,658.53 ",1.5,585.11,1.5,585.11,
