RowIndex,OldUniqueKey,OldCostCode,OldItemId,OldName,NewUniqueKey,NewCostCode,NewItemId,NewName
190,03-150-10-85|38975496,03-150-10-85,38975496,"Standard Wall Construction 22"" x 12'",03-100-30-20|51482174,03-100-30-20,51482174,Site Concrete Wood Forms
191,03-150-10-85|38975497,03-150-10-85,38975497,"Standard Wall Construction 12"" x 6'",03-200-40-20|51482175,03-200-40-20,51482175,#4 Rebar - 20' Pc
192,03-150-10-85|38975498,03-150-10-85,38975498,"Standard Wall Construction 20"" x 6'",03-200-40-20|51482176,03-200-40-20,51482176,#3 Rebar - 20' Pc
193,03-150-10-85|38975499,03-150-10-85,38975499,"Standard Wall Construction 36"" x 6'",03-200-40-20|51482177,03-200-40-20,51482177,#5 Rebar - 20' Pc
194,03-150-10-85|38975500,03-150-10-85,38975500,"Standard Wall Construction 16"" x 6'",03-200-40-20|51482178,03-200-40-20,51482178,#6 Rebar - 20' Pc
195,03-150-10-85|38975501,03-150-10-85,38975501,"Standard Wall Construction 18"" x 6'",03-200-40-20|51482179,03-200-40-20,51482179,#7 Rebar - 20' Pc
196,03-150-10-85|38975502,03-150-10-85,38975502,"Standard Wall Construction 24"" x 6'",03-200-40-20|51482180,03-200-40-20,51482180,#8 Rebar - 20' Pc
197,03-150-10-85|38975503,03-150-10-85,38975503,"Standard Wall Construction 30"" x 6'",03-200-40-20|51482181,03-200-40-20,51482181,#9 Rebar - 20' Pc
198,03-150-10-85|38975519,03-150-10-85,38975519,"Expansion Noma-Flex 6""x10'",03-200-40-20|51482182,03-200-40-20,51482182,#11 Rebar - 20' Pc
199,03-150-10-85|38975520,03-150-10-85,38975520,"Expansion Noma-Flex 12""x10'",03-200-40-20|51482183,03-200-40-20,51482183,#10 Rebar - 20' Pc
200,03-150-10-85|38975521,03-150-10-85,38975521,"Foam Expansion Roll 1/4""x4""x100'",03-300-30-20|51482184,03-300-30-20,51482184,Fiber
201,03-150-10-85|38975522,03-150-10-85,38975522,"Foam Expansion Roll 1/2""x4""x50'",03-300-30-20|51482185,03-300-30-20,51482185,Decorative Mockups
202,03-150-10-85|38975523,03-150-10-85,38975523,"Foam Expansion Roll 1/2""x6""x50'",03-300-30-30|51482311,03-300-30-30,51482311,Topping spreader (attachment on the SRS4 machine)
203,03-150-10-85|38975524,03-150-10-85,38975524,"Foam Expansion Roll 1/2""x8""x50'",03-300-30-30|51482312,03-300-30-30,51482312,Hydro 8' Rideon Trowler
204,03-150-10-85|38975525,03-150-10-85,38975525,"Rubber Expansion Pc. 1/2""x4""x10'",03-300-30-30|51482313,03-300-30-30,51482313,Hydro 10' Rideon Trowler
205,03-150-10-85|38975526,03-150-10-85,38975526,"Rubber Expansion Pc. 1/2""x6""x10'",03-300-30-30|51482314,03-300-30-30,51482314,8' Rideon Trowler
206,03-150-10-85|38975527,03-150-10-85,38975527,"Expansion Noma-Flex 4""x10'",03-300-30-30|51482315,03-300-30-30,51482315,6' Rideon Trowler
207,03-150-10-85|38975881,03-150-10-85,38975881,"Expansion Cap (snap cap) 1/2""x10'",03-300-30-30|51482316,03-300-30-30,51482316,Telehandler 8000 lb (In-House)
208,03-150-10-85|36804161,03-150-10-85,36804161,Touch N Foam 12 oz,03-300-30-40|51482317,03-300-30-40,51482317,Telehandler 8000 lb (Rental)
209,03-150-10-85|36804162,03-150-10-85,36804162,Great Stuff Insulating Foam 12 oz,03-300-30-30|51482318,03-300-30-30,51482318,Telehandler 8000 lb (In-House)
210,03-150-10-85|38975533,03-150-10-85,38975533,"GreenGuard Scoreboard 2""x4'x8'",03-300-30-40|51482319,03-300-30-40,51482319,Scissor Lift Rental
211,03-150-10-85|38975534,03-150-10-85,38975534,"GreenGuard Scoreboard 1.5""x4'x8",03-300-30-30|51482320,03-300-30-30,51482320,Tower Light
212,03-150-10-85|38975535,03-150-10-85,38975535,"GreenGuard Scoreboard 1""x4'x8'",03-300-30-30|51482321,03-300-30-30,51482321,Concrete Buggy
213,03-150-10-85|38975508,03-150-10-85,38975508,Powder Release 5 Gal,03-300-30-30|51482345,03-300-30-30,51482345,Somero S-15R (boom screed) (8 hr minimum)
214,03-150-10-85|38975509,03-150-10-85,38975509,Color Hardener 5 Gal,03-300-30-30|51482346,03-300-30-30,51482346,Somero SRS4 (boom screed) (8 hr minimum)
215,03-150-10-85|38975510,03-150-10-85,38975510,Integral Color,03-300-30-30|51482347,03-300-30-30,51482347,Somero S-840 (8 hr minimum)
216,03-150-10-85|39414012,03-150-10-85,39414012,Surface Deactivator,03-300-30-30|51482348,03-300-30-30,51482348,Somero Power Rake (8 hr minimum)
217,03-150-10-85|41843783,03-150-10-85,41843783,Eco-stain,03-300-30-30|51482349,03-300-30-30,51482349,Somero 3D Profiler (with or without screed)
218,03-150-10-85|42193975,03-150-10-85,42193975,Stamp Rental,03-300-30-50|51482350,03-300-30-50,51482350,Site Concrete Subcontractor
219,03-150-10-85|36741786,03-150-10-85,36741786,ADA Plate 2'x3',03-300-30-40|51482351,03-300-30-40,51482351,Curb Form Rentals
220,03-150-10-85|36741816,03-150-10-85,36741816,ADA Plate 2'x4',03-300-30-10|51482378,03-300-30-10,51482378,Labor Site Concrete
221,03-150-10-85|36741830,03-150-10-85,36741830,ADA Plate 2'x5',03-100-30-10|51482379,03-100-30-10,51482379,Labor Site Concrete Forms
222,03-200-50-30|36745260,03-200-50-30,36745260,"Heavy Duty SOG Chair 2-1/2"" - 3""",03-200-40-10|51482380,03-200-40-10,51482380,Labor Site Rebar
223,03-200-50-30|36745271,03-200-50-30,36745271,"Heavy Duty SOG Chair 1 1/2"" - 2""",03-300-40-30|51482355,03-300-40-30,51482355,Line Dragon
224,03-200-50-30|37675711,03-200-50-30,37675711,"2"" Popcorn Brick Chairs",03-300-40-30|51482356,03-300-40-30,51482356,Boom Pump Rental w/Operator
225,03-200-50-30|38940753,03-200-50-30,38940753,"Chairs 1.5"" (5' section)",03-300-40-30|51482357,03-300-40-30,51482357,Telebelt (4 hr minimum)
226,03-200-50-30|38940754,03-200-50-30,38940754,"Chairs 3/4"" (5' section)",03-300-40-30|51482358,03-300-40-30,51482358,Trailer Pump (Includes 3 hr)
227,03-200-50-30|38940755,03-200-50-30,38940755,"Chairs 2"" (5' section)",03-300-40-60|51482270,03-300-40-60,51482270,Certi-Vex 244 OW Aim  5 gal
228,03-200-50-30|38940756,03-200-50-30,38940756,"Chairs 3"" (5' section)",03-300-40-40|51482271,03-300-40-40,51482271,HS 200LV Penetrating Sealer  5 gal
229,03-200-50-30|38940757,03-200-50-30,38940757,"Chairs 4"" (5' section)",03-300-40-60|51482272,03-300-40-60,51482272,L&M Curing Compound
230,03-150-10-85|36745253,03-150-10-85,36745253,"Speed Dowel #4 Rebar 5/8"" x 9""",03-300-40-40|51482273,03-300-40-40,51482273,V-Seal 102 5 gal
231,03-150-10-85|36746108,03-150-10-85,36746108,"#5 Speed Dowel Base -3/4""",03-300-40-60|51482274,03-300-40-60,51482274,TK-Floor Hardner and Densifier 55 gal
232,03-150-10-85|36746141,03-150-10-85,36746141,"Speed Dowel #5 Rebar 3/4"" x 9""",03-300-40-60|51482275,03-300-40-60,51482275,TK Kure & Seal WB  5 gal
233,03-150-10-85|37273723,03-150-10-85,37273723,"1/4"" QuicDiamond Flat Plate (includes Plate and Sleeve)",03-300-40-40|51482276,03-300-40-40,51482276,V-Seal 101 5 gal
234,03-150-10-85|44497848,03-150-10-85,44497848,"#6 (3/4"") X 18"" Smooth Dowels",03-300-40-60|51482277,03-300-40-60,51482277,L&M Cure 55 gal
235,03-200-50-20|36741917,03-200-50-20,36741917,Wire Mesh 6 ga (2.9x2.9 6x6) 5'x10' Sheet,03-300-40-60|51482278,03-300-40-60,51482278,L&M Curing Compound
236,03-200-50-20|36741920,03-200-50-20,36741920,Wire Mesh 8 ga (2.1x2.1 6x6) 5'x10' Sheet,03-300-40-60|51482279,03-300-40-60,51482279,L&M Dress Seal WB 5 gal
237,03-200-50-20|36741924,03-200-50-20,36741924,Wire Mesh 10 ga (1.4x1.4 6x6) 5'x10' Sheet,03-300-40-70|51482389,03-300-40-70,51482389,Labor Interior Sealer
238,03-200-50-20|36745175,03-200-50-20,36745175,Wire Mesh 6 ga  (2.9x2.9 6x6) 8'x15' Sheet,03-300-40-10|51482280,03-300-40-10,51482280,Non-chloride Accelerator
239,03-200-50-20|36880163,03-200-50-20,36880163,Wire Mesh 4 ga (4.0x4.0 6x6) 5'x10' Sheet,03-300-40-10|51482281,03-300-40-10,51482281,Calcium Accelerator
240,03-200-50-20|36880166,03-200-50-20,36880166,Wire Mesh 4 ga (4.0x4.0 4x4) 5'x10' Sheet,03-300-40-10|51482282,03-300-40-10,51482282,Blankets price is 1 coverage only
241,03-300-40-60|38975897,03-300-40-60,38975897,Certi-Vex 244 OW Aim  5 gal,03-300-40-10|51482283,03-300-40-10,51482283,Hot Water
242,03-300-40-40|38975898,03-300-40-40,38975898,HS 200LV Penetrating Sealer  5 gal,03-300-40-10|51482284,03-300-40-10,51482284,Winter Concrete
243,03-300-40-60|38975959,03-300-40-60,38975959,L&M Curing Compound,03-400-10-20|51482323,03-400-10-20,51482323,Chop Saw
244,03-300-40-40|38975960,03-300-40-40,38975960,V-Seal 102 5 gal,03-400-10-20|51482324,03-400-10-20,51482324,Soffcut Saw X150
245,03-300-40-60|38975961,03-300-40-60,38975961,TK-Floor Hardner and Densifier 55 gal,03-400-10-20|51482325,03-400-10-20,51482325,Soffcut Saw X4000
246,03-300-40-60|38975962,03-300-40-60,38975962,TK Kure & Seal WB  5 gal,03-400-10-20|51482326,03-400-10-20,51482326,"18"" Floor Saw"
247,03-300-40-40|38975963,03-300-40-40,38975963,V-Seal 101 5 gal,03-400-10-10|51482382,03-400-10-10,51482382,Labor Concrete Sawing
248,03-300-40-60|38975964,03-300-40-60,38975964,L&M Cure 55 gal,04-100-10-20|51482352,04-100-10-20,51482352,Masonry Subcontractor
249,03-300-40-60|38975965,03-300-40-60,38975965,L&M Curing Compound,05-100-10-10|51482116,05-100-10-10,51482116,"Bollard Sch 40 6""x7'6"" (primed)"
250,03-300-40-60|38975966,03-300-40-60,38975966,L&M Dress Seal WB 5 gal,05-100-10-10|51482117,05-100-10-10,51482117,"Bollard Sch 40 6""x78"" with cap (primed)"
251,03-300-40-70|40573062,03-300-40-70,40573062,Interior Sealer Labor,05-100-10-10|51482118,05-100-10-10,51482118,Bollard Sleeve
252,03-300-40-30|36880160,03-300-40-30,36880160,Line Dragon,05-100-10-10|51482119,05-100-10-10,51482119,"Galvanized Bollard 4"""
253,03-300-40-30|38935099,03-300-40-30,38935099,Boom Pump Rental w/Operator,05-100-10-10|51482120,05-100-10-10,51482120,"Galvanized Bollard 6"""
254,03-300-40-30|38935100,03-300-40-30,38935100,Telebelt (4 hr minimum),05-100-10-20|51482121,05-100-10-20,51482121,Bollards Concrete
255,03-300-40-30|38935101,03-300-40-30,38935101,Trailer Pump (Includes 3 hr),05-100-10-10|51482122,05-100-10-10,51482122,"Bollard Sch 40 4"" x 7' Stainless Steel with Cap"
256,03-300-40-10|36804204,03-300-40-10,36804204,Non-chloride Accelerator,05-100-10-10|51482123,05-100-10-10,51482123,"Bollard Sch 40 4"" x 80"" Stainless Steel with Cap"
257,03-300-40-10|36804210,03-300-40-10,36804210,Calcium Accelerator,05-100-10-10|51482124,05-100-10-10,51482124,"Bollard Sch 40 6"" x 80"" Stainless Steel with Cap"
258,03-300-40-10|36804213,03-300-40-10,36804213,Blankets price is 1 coverage only,05-100-10-10|51482125,05-100-10-10,51482125,"Bollard Sleeve Sch 40 6"" Stainless Steel"
259,03-300-40-10|36804264,03-300-40-10,36804264,Hot Water,05-100-10-10|51482126,05-100-10-10,51482126,"Bollard Sleeve Sch 40 8"" Stainless Steel"
260,03-300-40-10|45284523,03-300-40-10,45284523,Winter Concrete,05-100-10-60|51482363,05-100-10-60,51482363,Rebar Fabrication Time
261,31-100-10-30|38333614,31-100-10-30,38333614,2B Stone,05-100-10-30|51482364,05-100-10-30,51482364,Labor Bollards
262,31-100-10-30|38333618,31-100-10-30,38333618,2A Modified,31-100-10-30|51482285,31-100-10-30,51482285,2B Stone
263,31-100-10-50|36836757,31-100-10-50,36836757,Kubota Excavator KX033,31-100-10-30|51482286,31-100-10-30,51482286,2A Modified
264,31-100-10-50|38347537,31-100-10-50,38347537,Kubota Excavator KX033,31-100-10-50|51482328,31-100-10-50,51482328,Kubota Excavator KX033
265,31-100-10-50|38992393,31-100-10-50,38992393,Bobcat 595 Skidloader,31-100-10-50|51482329,31-100-10-50,51482329,Kubota Excavator KX033
266,31-100-10-50|38992394,31-100-10-50,38992394,Bobcat 595 Skidloader,31-100-10-50|51482330,31-100-10-50,51482330,Bobcat 595 Skidloader
267,31-100-10-50|38992395,31-100-10-50,38992395,Bobcat 450 Skidloader,31-100-10-50|51482331,31-100-10-50,51482331,Bobcat 595 Skidloader
268,31-100-10-40|36804365,31-100-10-40,36804365,Dump Truck,31-100-10-50|51482332,31-100-10-50,51482332,Bobcat 450 Skidloader
269,31-100-10-40|38993987,31-100-10-40,38993987,Excavation Subcontractor,31-100-10-10|51482390,31-100-10-10,51482390,Labor Stone Grading
270,31-100-10-40|38993988,31-100-10-40,38993988,Trackhoe Subcontractor,31-100-10-20|51482391,31-100-10-20,51482391,Labor Excavation And Backfill
271,31-100-10-40|38993989,31-100-10-40,38993989,Skidloader Subcontractor,31-100-10-50|51482333,31-100-10-50,51482333,Trackhoe Rental
272,31-100-10-10|38994009,31-100-10-10,38994009,Stone Grading Labor,31-100-10-50|51482334,31-100-10-50,51482334,Roller Rental
273,31-100-10-20|38994011,31-100-10-20,38994011,Excavation And Backfill Labor,31-100-10-50|51482335,31-100-10-50,51482335,Skidloader Rental
274,31-100-10-50|38334038,31-100-10-50,38334038,Trackhoe Rental,31-100-10-40|51482359,31-100-10-40,51482359,Dump Truck
275,31-100-10-50|38334049,31-100-10-50,38334049,Roller Rental,31-100-10-40|51482360,31-100-10-40,51482360,Excavation Subcontractor
276,31-100-10-50|38334054,31-100-10-50,38334054,Skidloader Rental,31-100-10-40|51482361,31-100-10-40,51482361,Trackhoe Subcontractor
277,90-100-10-10|41897929,90-100-10-10,41897929,Over/Under,31-100-10-40|51482362,31-100-10-40,51482362,Skidloader Subcontractor
