RowIndex,OldUniqueKey,OldCostCode,OldItemId,OldName,NewUniqueKey,NewCostCode,NewItemId,NewName
66,03-100-20-20|38935924,03-100-20-20,38935924,"8"" Wall Tie",03-150-10-85|51482221,03-150-10-85,51482221,"Standard Wall Construction 20"" x 6'"
67,03-300-10-50|38936001,03-300-10-50,38936001,Poured Wall Subcontractor,03-150-10-85|51482222,03-150-10-85,51482222,"Standard Wall Construction 36"" x 6'"
68,03-300-10-20|38970804,03-300-10-20,38970804,Fiber,03-150-10-85|51482223,03-150-10-85,51482223,"Standard Wall Construction 16"" x 6'"
69,03-300-10-30|38982892,03-300-10-30,38982892,Telehandler 8000 lb (In-House),03-150-10-85|51482224,03-150-10-85,51482224,"Standard Wall Construction 18"" x 6'"
70,03-300-10-40|38982893,03-300-10-40,38982893,Telehandler 8000 lb (Rental),03-150-10-85|51482225,03-150-10-85,51482225,"Standard Wall Construction 24"" x 6'"
71,03-300-10-30|38982894,03-300-10-30,38982894,Telehandler 8000 lb (In-House),03-150-10-85|51482226,03-150-10-85,51482226,"Standard Wall Construction 30"" x 6'"
72,03-300-10-40|38982895,03-300-10-40,38982895,Scissor Lift Rental,03-150-10-85|51482259,03-150-10-85,51482259,"Speed Dowel #4 Rebar 5/8"" x 9"""
73,03-300-20-20|36874076,03-300-20-20,36874076,Fiber,03-150-10-85|51482260,03-150-10-85,51482260,"#5 Speed Dowel Base -3/4"""
74,03-300-20-10|38936046,03-300-20-10,38936046,Labor Slab On Grade,03-150-10-85|51482261,03-150-10-85,51482261,"Speed Dowel #5 Rebar 3/4"" x 9"""
75,03-300-20-20|38936047,03-300-20-20,38936047,Slab On Grade Concrete,03-150-10-85|51482262,03-150-10-85,51482262,"1/4"" QuicDiamond Flat Plate (includes Plate and Sleeve)"
76,03-100-30-10|38936048,03-100-30-10,38936048,Slab On Grade Forms Labor,03-150-10-85|51482263,03-150-10-85,51482263,"#6 (3/4"") X 18"" Smooth Dowels"
