Date,Vendor,Contract,Line Item,Quantity Budgeted,Unit Cost,Total cost,Quantity Delivered,Quantity To Be Delivered,Quantity Put-In-Place,Quantity To Be Put-In-Place,Comments
06/10/26,"Paradise Masonry, LLC",WP - 06 - Porch Overlay,#1 - Planitop X 50 lb Bag,1.0,$751.90,$751.90,1.0,-1.0,1.0,-1.0,Material Our Cost from PCS 838.98
06/09/26,"Paradise Masonry, LLC",WP - 07 - Interior Floor Patching,#1 - Materials,1.0,"$1,115.76","$1,115.76",1.0,-1.0,1.0,-1.0,Material Our Cost 1183.88
04/01/26,"Paradise Masonry, LLC",PO #03 - 5057 Sq Ft. - 4_ Interior Slab on Grade,#12 - 2” steel chairs,1.0,$0.00,$0.00,40.0,-79.0,40.0,-79.0,
04/01/26,PMC Procore Direct Costs,WP - 05 - Westminster Presbyterian Addition Billing File,#7 - #5 Rebar - 20' Pc - Foundation,1.0,$10.26,$10.26,4.0,-3.0,4.0,-3.0,
04/01/26,PMC Procore Direct Costs,WP - 05 - Westminster Presbyterian Addition Billing File,#6 - #4 Rebar - 20' Pc - Foundation,1.0,$6.72,$6.72,3.0,-2.0,3.0,-2.0,
03/30/26,PMC Procore Direct Costs,WP - 05 - Westminster Presbyterian Addition Billing File,#12 - Vapor Barrier 10 mil 20'x100',1.0,$101.12,$101.12,0.1,0.9,0.1,0.9,
03/30/26,PMC Procore Direct Costs,WP - 05 - Westminster Presbyterian Addition Billing File,"#13 - Expansion Rigid Foam 4""x10'",1.0,$3.92,$3.92,4.0,-36.0,4.0,-36.0,
03/30/26,PMC Procore Direct Costs,WP - 05 - Westminster Presbyterian Addition Billing File,#14 - Wire Mesh 10 ga (1.4x1.4 6x6) 5'x10' Sheet,1.0,$7.32,$7.32,3.0,-2.0,3.0,-2.0,
03/19/26,"Centurion Construction Group, LLC","PO #01 - Continuous Footings, Step Footings & Walls","#6 - Chairs 3"" (5' section)",52.0,$2.00,$104.00,55.0,-3.0,55.0,-3.0,
03/19/26,"Centurion Construction Group, LLC","PO #01 - Continuous Footings, Step Footings & Walls",#3 - Pc-Concrete Repair Epoxy,22.0,$21.43,$471.46,11.0,11.0,11.0,11.0,
03/19/26,PMC Procore Direct Costs,WP - 05 - Westminster Presbyterian Addition Billing File,"#8 - Chairs 3"" (5' section)",1.0,$2.00,$2.00,55.0,-54.0,55.0,-54.0,
03/19/26,PMC Procore Direct Costs,WP - 05 - Westminster Presbyterian Addition Billing File,#5 - Pc-Concrete Repair Epoxy,1.0,$21.43,$21.43,11.0,-10.0,11.0,-10.0,
03/19/26,PMC Procore Direct Costs,WP - 05 - Westminster Presbyterian Addition Billing File,#31 - Site Concrete Wood Forms - SOG,243.0,$1.42,$345.06,86.0,157.0,86.0,157.0,
03/19/26,PMC Procore Direct Costs,WP - 05 - Westminster Presbyterian Addition Billing File,#19 - Boom Pump Rental w/Operator,1.0,$943.40,$943.40,1.0,0.0,1.0,0.0,
03/19/26,PMC Procore Direct Costs,WP - 05 - Westminster Presbyterian Addition Billing File,#18 - L&M Curing Compound,1.0,$56.49,$56.49,2.0,-1.0,2.0,-1.0,
