Date,Vendor,Contract,Line Item,Quantity Budgeted,Unit Cost,Total cost,Quantity Delivered,Quantity To Be Delivered,Quantity Put-In-Place,Quantity To Be Put-In-Place,Comments
03/18/26,"Paradise Masonry, LLC",PO #03 - 5057 Sq Ft. - 4_ Interior Slab on Grade,#3 - Vapor Barrier 10 mil 20'x100',2.78,$101.12,$281.11,2.75,0.03,2.75,0.03,
03/18/26,"Paradise Masonry, LLC",PO #03 - 5057 Sq Ft. - 4_ Interior Slab on Grade,#6 - Wire Mesh 10 ga (1.4x1.4 6x6) 5'x10' Sheet,121.0,$7.32,$885.72,123.0,-2.0,123.0,-2.0,
03/18/26,"Paradise Masonry, LLC",PO #03 - 5057 Sq Ft. - 4_ Interior Slab on Grade,"#5 - Chairs 3"" (5' section)",27.0,$2.00,$54.00,18.0,9.0,18.0,9.0,
03/18/26,"Paradise Masonry, LLC",PO #03 - 5057 Sq Ft. - 4_ Interior Slab on Grade,"#2 - GreenGuard Scoreboard 2""x4'x8'",45.0,$52.51,"$2,362.95",22.0,23.0,22.0,23.0,
03/18/26,"Paradise Masonry, LLC",PO #03 - 5057 Sq Ft. - 4_ Interior Slab on Grade,"#4 - Expansion Rigid Foam 4""x10'",77.0,$3.92,$301.84,33.0,44.0,33.0,44.0,
03/18/26,PMC Procore Direct Costs,WP - 05 - Westminster Presbyterian Addition Billing File,"#13 - Expansion Rigid Foam 4""x10'",1.0,$3.92,$3.92,33.0,-32.0,33.0,-32.0,
01/19/26,"Paradise Masonry, LLC","PO #04 - Steps & Landings, Patio & Porch With Turndowns, & Sidewalks",#5 - #4 Rebar - 20' Pc - Site,59.0,$6.72,$396.48,35.5,23.5,0.0,59.0,
01/19/26,"Paradise Masonry, LLC",PO #03 - 5057 Sq Ft. - 4_ Interior Slab on Grade,#8 - #5 Rebar - 20' Pc - SOG,68.0,$10.26,$697.68,65.0,3.0,65.0,3.0,
01/19/26,"Paradise Masonry, LLC",PO #03 - 5057 Sq Ft. - 4_ Interior Slab on Grade,#7 - #4 Rebar - 20' Pc - SOG,44.0,$6.72,$295.68,32.0,12.0,32.0,12.0,
01/19/26,"Paradise Masonry, LLC",PO #02 - 13 - Spread Footings,#3 - #5 Rebar - 20' Pc - Foundation,12.0,$10.26,$123.12,13.5,-1.5,13.5,-1.5,
01/19/26,"Paradise Masonry, LLC",PO #02 - 13 - Spread Footings,#2 - #4 Rebar - 20' Pc - Foundation,11.0,$6.72,$73.92,10.0,1.0,10.0,1.0,
01/19/26,"Centurion Construction Group, LLC","PO #01 - Continuous Footings, Step Footings & Walls",#5 - #5 Rebar - 20' Pc - Foundation,62.0,$10.26,$636.12,13.5,48.5,13.5,48.5,
01/19/26,"Centurion Construction Group, LLC","PO #01 - Continuous Footings, Step Footings & Walls",#4 - #4 Rebar - 20' Pc - Foundation,95.0,$6.72,$638.40,57.5,37.5,57.5,37.5,
01/16/26,"Centurion Construction Group, LLC","PO #01 - Continuous Footings, Step Footings & Walls",#1 - Foundation Concrete - Foundation,39.5,$134.00,"$5,293.00",15.0,24.5,15.0,24.5,
01/16/26,"Paradise Masonry, LLC","PO #04 - Steps & Landings, Patio & Porch With Turndowns, & Sidewalks",#1 - Site Concrete - Site,59.0,$140.00,"$8,260.00",12.0,47.0,12.0,47.0,

