"customer","csvCustomer","csvProjectName","csvMonth","csvPercent","csvHours","matchedProjectCount","matchedProjectsJson"
"","","Memory Care Ph 1B","2025-09","11","0","0","[]"
"","","Memory Care Ph 1B","2025-11","10","0","0","[]"
"","","Memory Care Ph 1B","2025-12","23","0","0","[]"
"","","Middletown Area School","2025-04","4","0","0","[]"
"","","Middletown Area School","2025-05","22","0","0","[]"
"","","Middletown Area School","2025-06","10","0","0","[]"
"","","Middletown Area School","2026-03","25","0","0","[]"
"","","Middletown Area School","2026-04","25","0","0","[]"
"","","Middletown Area School","2026-05","9","0","0","[]"
"","","Middletown Area School","2026-06","5","0","0","[]"
"","","MK Legacy Truss","2025-01","5","0","0","[]"
"","","MK Legacy Truss","2025-02","40","0","0","[]"
"","","MK Legacy Truss","2025-03","33","0","0","[]"
"","","MK Legacy Truss","2025-04","7","0","0","[]"
"","","MVE","2025-06","50","0","0","[]"
"","","MVE","2025-08","50","0","0","[]"
"","","North East International","2025-03","25","0","0","[]"
"","","Paneling Sales Apron","2025-04","100","0","0","[]"
"","","Paneling Sales Lumber Building","2025-06","60","0","0","[]"
"","","Paneling Sales Lumber Building","2025-07","30","0","0","[]"
"","","Paneling Sales Lumber Building","2025-09","10","0","0","[]"
"","","Paneling Sales Main","2025-11","40","0","0","[]"
"","","Paneling Sales Main","2025-12","60","0","0","[]"
"","","Paneling Sales Roofing Building","2025-04","100","0","0","[]"
"","","Paneling Sales Storage Building","2025-05","100","0","0","[]"
"","","Paragon","2025-10","100","0","0","[]"
"","","Providence Building Supply","2025-05","85","0","0","[]"
"","","Rapid Response","2025-04","100","0","0","[]"
"","","Reach Christian School","2025-06","100","0","0","[]"
"","","Regupol 2024","2025-01","55","0","0","[]"
"","","Regupol 2024","2025-02","25","0","0","[]"
"","","Regupol 2024","2025-03","20","0","0","[]"
"","","Rock Hill Building 1","2025-07","100","0","0","[]"
"","","Shank Door","2026-05","10","0","0","[]"
"","","Shank Door","2026-06","55","0","0","[]"
"","","Shank Door","2026-07","25","0","0","[]"
"","","Shank Door","2026-08","10","0","0","[]"
"","","South Pointe Apt L","2025-01","32","0","0","[]"
"","","South Pointe Apt L","2025-02","2","0","0","[]"
"","","South Pointe Apt L","2025-03","5","0","0","[]"
"","","South Pointe Apt L","2025-04","27","0","0","[]"
"","","South Pointe Apt L","2025-05","9","0","0","[]"
"","","South Pointe Apt L","2025-06","19","0","0","[]"
"","","South Pointe Apt O Site Sidewalks","2025-04","100","0","0","[]"
"","","South Pointe Apt P","2025-01","5","0","0","[]"
"","","South Pointe Apt P Site Sidewalks","2025-07","100","0","0","[]"
"","","South Pointe Site 3A","2026-04","30","0","0","[]"
"","","South Pointe Site 3A","2026-05","35","0","0","[]"
"","","South Pointe Site 3A","2026-06","35","0","0","[]"
"","","St Annes 45 & 46","2025-06","35","0","0","[]"
"","","St Annes 45 & 46","2025-08","30","0","0","[]"
"","","St Annes 45 & 46","2025-09","35","0","0","[]"
"","","St John Vianney","2025-06","70","0","0","[]"
"","","St John Vianney","2025-08","30","0","0","[]"
"","","Steven Feed Mill Schoeneck","2026-04","10","0","0","[]"
"","","Steven Feed Mill Schoeneck","2026-05","5","0","0","[]"
"","","Steven Feed Mill Schoeneck","2026-06","15","0","0","[]"
"","","Steven Feed Mill Schoeneck","2026-07","20","0","0","[]"
"","","Steven Feed Mill Schoeneck","2026-08","25","0","0","[]"
"","","Steven Feed Mill Schoeneck","2026-09","25","0","0","[]"
"","","Stewartstown Church","2025-07","35","0","0","[]"
"","","Stewartstown Church","2025-08","25","0","0","[]"
"","","Stewartstown Church","2025-10","25","0","0","[]"
"","","Stewartstown Church","2026-01","15","0","0","[]"
"","","Stoltzfus Hardwoods","2026-01","100","0","0","[]"
"","","Tel Hai","2026-05","25","0","0","[]"
"","","Tel Hai","2026-06","25","0","0","[]"
"","","Tel Hai","2026-07","25","0","0","[]"
"","","Tel Hai","2026-08","25","0","0","[]"
"","","The Learning Center","2025-09","25","0","0","[]"
"","","The Learning Center","2025-10","13","0","0","[]"
"","","The Learning Center","2025-11","62","0","0","[]"
"","","Townplace Hershey","2025-01","10","0","0","[]"
"","","Townplace Hershey","2025-05","46","0","0","[]"
"","","Townplace Hershey","2025-06","2","0","0","[]"
"","","Townplace Hershey","2025-07","2","0","0","[]"
"","","Townplace Pottsville","2025-07","10","0","0","[]"
"","","Townplace Suites","2025-01","2","0","0","[]"
"","","Townplace Suites","2025-02","13","0","0","[]"
"","","Townplace Suites","2025-03","28","0","0","[]"
"","","Westminster Presbyterian","2026-02","20","0","0","[]"
"","","Westminster Presbyterian","2026-03","65","0","0","[]"
"","","Westminster Presbyterian","2026-04","5","0","0","[]"
"","","Westminster Presbyterian","2026-05","10","0","0","[]"
"","","Wildflower Commons","2025-12","70","0","0","[]"
"","","Wildflower Commons","2026-01","30","0","0","[]"
"","","South Pointe Memory Care ph 1","2025-01","17","0","0","[]"
"","","South Pointe Memory Care ph 1","2025-02","1","0","0","[]"
"","","Providence Building Supply","2025-03","15","0","0","[]"
"","","South Pointe Memory Care ph 1","2025-03","10","0","0","[]"
"","","South Pointe Memory Care ph 1","2025-04","8","0","0","[]"
"","","South Pointe Memory Care ph 1","2025-05","2","0","0","[]"
"","","South Pointe Memory Care ph 1","2025-10","8","0","0","[]"
"","","South Pointe Memory Care ph 1","2025-11","15","0","0","[]"
"","","Jonas King Sidewalk","2026-03","100","0","0","[]"
